0.000000000E+00 -7.892544557E-02 -7.892544557E-02 -7.892544558E-02 -7.892544559E-02 -7.892544559E-02 -7.892544559E-02 1.792379731E-02 1.792379731E-02 1.792379731E-02 1.792379732E-02 1.792379732E-02 1.792379732E-02 
2.175113893E+00 -7.755388944E-02 -7.755388944E-02 -7.755388945E-02 -7.755388946E-02 -7.755388946E-02 -7.755388946E-02 1.745696884E-02 1.745696884E-02 1.745696884E-02 1.745696885E-02 1.745696885E-02 1.745696885E-02 
4.350227786E+00 -7.616914058E-02 -7.616914057E-02 -7.616914058E-02 -7.616914059E-02 -7.616914060E-02 -7.616914059E-02 1.699294877E-02 1.699294877E-02 1.699294877E-02 1.699294877E-02 1.699294878E-02 1.699294877E-02 
6.525341679E+00 -7.475842175E-02 -7.475842175E-02 -7.475842176E-02 -7.475842177E-02 -7.475842177E-02 -7.475842177E-02 1.653171637E-02 1.653171637E-02 1.653171637E-02 1.653171638E-02 1.653171638E-02 1.653171638E-02 
8.700455572E+00 -7.334444917E-02 -7.334444916E-02 -7.334444917E-02 -7.334444918E-02 -7.334444919E-02 -7.334444918E-02 1.607331860E-02 1.607331860E-02 1.607331860E-02 1.607331860E-02 1.607331861E-02 1.607331860E-02 
1.087556947E+01 -7.195069716E-02 -7.195069715E-02 -7.195069716E-02 -7.195069717E-02 -7.195069718E-02 -7.195069717E-02 1.561780533E-02 1.561780533E-02 1.561780533E-02 1.561780534E-02 1.561780534E-02 1.561780533E-02 
1.305068336E+01 -7.053928334E-02 -7.053928333E-02 -7.053928334E-02 -7.053928335E-02 -7.053928336E-02 -7.053928335E-02 1.516510709E-02 1.516510709E-02 1.516510709E-02 1.516510710E-02 1.516510710E-02 1.516510710E-02 
1.522579725E+01 -6.909707969E-02 -6.909707968E-02 -6.909707969E-02 -6.909707971E-02 -6.909707971E-02 -6.909707970E-02 1.471520201E-02 1.471520201E-02 1.471520201E-02 1.471520201E-02 1.471520202E-02 1.471520201E-02 
1.740091114E+01 -6.765038592E-02 -6.765038591E-02 -6.765038592E-02 -6.765038593E-02 -6.765038594E-02 -6.765038593E-02 1.426814747E-02 1.426814747E-02 1.426814747E-02 1.426814748E-02 1.426814748E-02 1.426814748E-02 
1.981103781E+01 -6.607598873E-02 -6.607598872E-02 -6.607598873E-02 -6.607598875E-02 -6.607598875E-02 -6.607598874E-02 1.377619596E-02 1.377619596E-02 1.377619597E-02 1.377619597E-02 1.377619597E-02 1.377619597E-02 
2.222116447E+01 -6.447571892E-02 -6.447571892E-02 -6.447571892E-02 -6.447571894E-02 -6.447571894E-02 -6.447571893E-02 1.328771609E-02 1.328771609E-02 1.328771609E-02 1.328771609E-02 1.328771609E-02 1.328771609E-02 
2.463129113E+01 -6.282791048E-02 -6.282791048E-02 -6.282791049E-02 -6.282791050E-02 -6.282791050E-02 -6.282791050E-02 1.280266951E-02 1.280266951E-02 1.280266951E-02 1.280266952E-02 1.280266952E-02 1.280266951E-02 
2.704141780E+01 -6.117558776E-02 -6.117558775E-02 -6.117558776E-02 -6.117558777E-02 -6.117558778E-02 -6.117558777E-02 1.232115605E-02 1.232115605E-02 1.232115605E-02 1.232115605E-02 1.232115605E-02 1.232115605E-02 
2.943364669E+01 -5.956962385E-02 -5.956962384E-02 -5.956962385E-02 -5.956962386E-02 -5.956962387E-02 -5.956962386E-02 1.184680561E-02 1.184680561E-02 1.184680561E-02 1.184680562E-02 1.184680562E-02 1.184680562E-02 
3.182587559E+01 -5.793658340E-02 -5.793658340E-02 -5.793658340E-02 -5.793658342E-02 -5.793658342E-02 -5.793658342E-02 1.137590518E-02 1.137590518E-02 1.137590518E-02 1.137590518E-02 1.137590518E-02 1.137590518E-02 
3.421810448E+01 -5.625862876E-02 -5.625862876E-02 -5.625862876E-02 -5.625862878E-02 -5.625862878E-02 -5.625862878E-02 1.090842375E-02 1.090842374E-02 1.090842375E-02 1.090842375E-02 1.090842375E-02 1.090842375E-02 
3.661033338E+01 -5.457245781E-02 -5.457245780E-02 -5.457245781E-02 -5.457245782E-02 -5.457245783E-02 -5.457245782E-02 1.044445513E-02 1.044445512E-02 1.044445513E-02 1.044445513E-02 1.044445513E-02 1.044445513E-02 
3.899408799E+01 -5.291599367E-02 -5.291599367E-02 -5.291599367E-02 -5.291599369E-02 -5.291599369E-02 -5.291599369E-02 9.985710192E-03 9.985710190E-03 9.985710193E-03 9.985710196E-03 9.985710198E-03 9.985710196E-03 
4.137784261E+01 -5.123456622E-02 -5.123456621E-02 -5.123456622E-02 -5.123456624E-02 -5.123456624E-02 -5.123456623E-02 9.530437264E-03 9.530437262E-03 9.530437264E-03 9.530437268E-03 9.530437270E-03 9.530437268E-03 
4.376159722E+01 -4.951463607E-02 -4.951463607E-02 -4.951463608E-02 -4.951463609E-02 -4.951463610E-02 -4.951463609E-02 9.078615488E-03 9.078615486E-03 9.078615488E-03 9.078615492E-03 9.078615493E-03 9.078615491E-03 
4.614535184E+01 -4.778274765E-02 -4.778274764E-02 -4.778274765E-02 -4.778274766E-02 -4.778274767E-02 -4.778274766E-02 8.630322942E-03 8.630322940E-03 8.630322942E-03 8.630322946E-03 8.630322948E-03 8.630322946E-03 
4.859491174E+01 -4.601639709E-02 -4.601639708E-02 -4.601639709E-02 -4.601639710E-02 -4.601639711E-02 -4.601639710E-02 8.173412014E-03 8.173412013E-03 8.173412015E-03 8.173412019E-03 8.173412020E-03 8.173412018E-03 
5.104447165E+01 -4.422432706E-02 -4.422432705E-02 -4.422432706E-02 -4.422432707E-02 -4.422432708E-02 -4.422432707E-02 7.720226322E-03 7.720226321E-03 7.720226323E-03 7.720226326E-03 7.720226328E-03 7.720226326E-03 
5.349403156E+01 -4.239392359E-02 -4.239392358E-02 -4.239392359E-02 -4.239392360E-02 -4.239392361E-02 -4.239392360E-02 7.270749646E-03 7.270749644E-03 7.270749646E-03 7.270749650E-03 7.270749652E-03 7.270749650E-03 
5.594359146E+01 -4.054760155E-02 -4.054760154E-02 -4.054760155E-02 -4.054760156E-02 -4.054760157E-02 -4.054760156E-02 6.825059962E-03 6.825059961E-03 6.825059963E-03 6.825059966E-03 6.825059968E-03 6.825059966E-03 
5.845062067E+01 -3.866380077E-02 -3.866380076E-02 -3.866380077E-02 -3.866380078E-02 -3.866380079E-02 -3.866380078E-02 6.372917679E-03 6.372917678E-03 6.372917680E-03 6.372917683E-03 6.372917685E-03 6.372917683E-03 
