0.000000000E+00 -5.455720508E-01 -7.239803557E-01 8.906815593E-01 -8.380639224E-01 6.898205887E-01 4.546277187E-01 
3.712363204E-02 -5.429871642E-01 -7.236144184E-01 8.878125122E-01 -8.397409953E-01 6.902044432E-01 4.602053256E-01 
7.424726408E-02 -5.404048473E-01 -7.232536598E-01 8.849031918E-01 -8.414051348E-01 6.905824669E-01 4.657749884E-01 
1.113708961E-01 -5.378250779E-01 -7.228981201E-01 8.819535164E-01 -8.430564543E-01 6.909546353E-01 4.713363914E-01 
1.484945282E-01 -5.352478325E-01 -7.225478387E-01 8.789634091E-01 -8.446950674E-01 6.913209245E-01 4.768892165E-01 
1.856181602E-01 -5.326730857E-01 -7.222028550E-01 8.759327959E-01 -8.463210870E-01 6.916813111E-01 4.824331424E-01 
2.227417922E-01 -5.301008103E-01 -7.218632077E-01 8.728616060E-01 -8.479346256E-01 6.920357717E-01 4.879678442E-01 
2.598654243E-01 -5.275309773E-01 -7.215289351E-01 8.697497721E-01 -8.495357944E-01 6.923842833E-01 4.934929932E-01 
2.969890563E-01 -5.249635562E-01 -7.212000752E-01 8.665972300E-01 -8.511247045E-01 6.927268230E-01 4.990082580E-01 
3.341126884E-01 -5.223985145E-01 -7.208766657E-01 8.634039193E-01 -8.527014660E-01 6.930633685E-01 5.045133029E-01 
3.712363204E-01 -5.198358182E-01 -7.205587436E-01 8.601697828E-01 -8.542661881E-01 6.933938974E-01 5.100077898E-01 
4.083599525E-01 -5.172754316E-01 -7.202463456E-01 8.568947668E-01 -8.558189798E-01 6.937183877E-01 5.154913768E-01 
4.454835845E-01 -5.147173173E-01 -7.199395082E-01 8.535788215E-01 -8.573599487E-01 6.940368177E-01 5.209637192E-01 
4.826072165E-01 -5.121614363E-01 -7.196382672E-01 8.502219004E-01 -8.588892023E-01 6.943491660E-01 5.264244687E-01 
5.197308486E-01 -5.096077480E-01 -7.193426579E-01 8.468239612E-01 -8.604068467E-01 6.946554112E-01 5.318732745E-01 
5.568544806E-01 -5.070562103E-01 -7.190527156E-01 8.433849651E-01 -8.619129877E-01 6.949555324E-01 5.373097823E-01 
5.939781127E-01 -5.045067793E-01 -7.187684747E-01 8.399048773E-01 -8.634077301E-01 6.952495090E-01 5.427336351E-01 
6.311017447E-01 -5.019594098E-01 -7.184899693E-01 8.363836671E-01 -8.648911780E-01 6.955373203E-01 5.481444729E-01 
6.682253767E-01 -4.994140549E-01 -7.182172332E-01 8.328213076E-01 -8.663634345E-01 6.958189462E-01 5.535419328E-01 
7.053490088E-01 -4.968706662E-01 -7.179502995E-01 8.292177762E-01 -8.678246022E-01 6.960943667E-01 5.589256492E-01 
7.424726408E-01 -4.943291938E-01 -7.176892010E-01 8.255730546E-01 -8.692747824E-01 6.963635621E-01 5.642952536E-01 
