0.000000000E+00 8.377956728E-01 -9.983238493E-01 8.377956728E-01 -9.983238493E-01 8.377956728E-01 -5.459838804E-01 -5.787484862E-02 -5.459838804E-01 -5.787484862E-02 -5.459838804E-01 
1.370239078E-02 8.451927503E-01 -9.978938201E-01 8.451927503E-01 -9.978938201E-01 8.451927503E-01 -5.344615957E-01 -6.486854959E-02 -5.344615957E-01 -6.486854959E-02 -5.344615957E-01 
2.740478156E-02 8.524301756E-01 -9.974198728E-01 8.524301756E-01 -9.974198728E-01 8.524301756E-01 -5.228410658E-01 -7.178858546E-02 -5.228410658E-01 -7.178858546E-02 -5.228410658E-01 
4.110717234E-02 8.595065734E-01 -9.969034416E-01 8.595065734E-01 -9.969034416E-01 8.595065734E-01 -5.111246783E-01 -7.863542873E-02 -5.111246783E-01 -7.863542873E-02 -5.111246783E-01 
5.480956312E-02 8.664206172E-01 -9.963459258E-01 8.664206172E-01 -9.963459258E-01 8.664206172E-01 -4.993148323E-01 -8.540958924E-02 -4.993148323E-01 -8.540958924E-02 -4.993148323E-01 
6.851195390E-02 8.731710273E-01 -9.957486894E-01 8.731710273E-01 -9.957486894E-01 8.731710273E-01 -4.874139361E-01 -9.211161203E-02 -4.874139361E-01 -9.211161203E-02 -4.874139361E-01 
8.221434468E-02 8.797565696E-01 -9.951130609E-01 8.797565696E-01 -9.951130609E-01 8.797565696E-01 -4.754244066E-01 -9.874207565E-02 -4.754244066E-01 -9.874207565E-02 -4.754244066E-01 
9.591673546E-02 8.861760548E-01 -9.944403333E-01 8.861760548E-01 -9.944403333E-01 8.861760548E-01 -4.633486681E-01 -1.053015906E-01 -4.633486681E-01 -1.053015906E-01 -4.633486681E-01 
1.096191262E-01 8.924283376E-01 -9.937317640E-01 8.924283376E-01 -9.937317640E-01 8.924283376E-01 -4.511891519E-01 -1.117907979E-01 -4.511891519E-01 -1.117907979E-01 -4.511891519E-01 
1.233215170E-01 8.985123165E-01 -9.929885751E-01 8.985123165E-01 -9.929885751E-01 8.985123165E-01 -4.389482951E-01 -1.182103676E-01 -4.389482951E-01 -1.182103676E-01 -4.389482951E-01 
1.370239078E-01 9.044269331E-01 -9.922119526E-01 9.044269331E-01 -9.922119526E-01 9.044269331E-01 -4.266285403E-01 -1.245609980E-01 -4.266285403E-01 -1.245609980E-01 -4.266285403E-01 
1.507262986E-01 9.101711713E-01 -9.914030472E-01 9.101711713E-01 -9.914030472E-01 9.101711713E-01 -4.142323349E-01 -1.308434140E-01 -4.142323349E-01 -1.308434140E-01 -4.142323349E-01 
1.644286894E-01 9.157440574E-01 -9.905629739E-01 9.157440574E-01 -9.905629739E-01 9.157440574E-01 -4.017621306E-01 -1.370583663E-01 -4.017621306E-01 -1.370583663E-01 -4.017621306E-01 
1.781310801E-01 9.211446586E-01 -9.896928121E-01 9.211446586E-01 -9.896928121E-01 9.211446586E-01 -3.892203824E-01 -1.432066293E-01 -3.892203824E-01 -1.432066293E-01 -3.892203824E-01 
1.918334709E-01 9.263720831E-01 -9.887936060E-01 9.263720831E-01 -9.887936060E-01 9.263720831E-01 -3.766095482E-01 -1.492890006E-01 -3.766095482E-01 -1.492890006E-01 -3.766095482E-01 
2.055358617E-01 9.314254790E-01 -9.878663646E-01 9.314254790E-01 -9.878663646E-01 9.314254790E-01 -3.639320885E-01 -1.553062991E-01 -3.639320885E-01 -1.553062991E-01 -3.639320885E-01 
