0.000000000E+00 -9.887330161E-01 -9.945656890E-01 -8.736099152E-01 -9.910986549E-01 -7.357969920E-01 -9.910986549E-01 -8.736099152E-01 -9.945656890E-01 -9.887330161E-01 1.496898166E-01 -1.041110254E-01 4.866268867E-01 1.331294901E-01 6.772021783E-01 1.331294901E-01 4.866268867E-01 -1.041110254E-01 1.496898166E-01 
2.403871439E-02 -9.920172885E-01 -9.921347176E-01 -8.849857001E-01 -9.932875690E-01 -7.517954906E-01 -9.932875690E-01 -8.849857001E-01 -9.921347176E-01 -9.920172885E-01 1.261020012E-01 -1.251747360E-01 4.656182113E-01 1.156711205E-01 6.593963463E-01 1.156711205E-01 4.656182113E-01 -1.251747360E-01 1.261020012E-01 
4.807742878E-02 -9.947288164E-01 -9.892197505E-01 -8.958507826E-01 -9.952022622E-01 -7.673776766E-01 -9.952022622E-01 -8.958507826E-01 -9.892197505E-01 -9.947288164E-01 1.025407076E-01 -1.464387149E-01 4.443550192E-01 9.783895000E-02 6.411953702E-01 9.783895000E-02 4.443550192E-01 -1.464387149E-01 1.025407076E-01 
7.211614317E-02 -9.968712748E-01 -9.858078147E-01 -9.061958979E-01 -9.968239128E-01 -7.825325953E-01 -9.968239128E-01 -9.061958979E-01 -9.858078147E-01 -9.968712748E-01 7.904224694E-02 -1.678778283E-01 4.228581360E-01 7.963724089E-02 6.226096203E-01 7.963724089E-02 4.228581360E-01 -1.678778283E-01 7.904224694E-02 
9.615485756E-02 -9.984506511E-01 -9.818874451E-01 -9.160123487E-01 -9.981333863E-01 -7.972490974E-01 -9.981333863E-01 -9.160123487E-01 -9.818874451E-01 -9.984506511E-01 5.564452663E-02 -1.894651926E-01 4.011500800E-01 6.107165683E-02 6.036504614E-01 6.107165683E-02 4.011500800E-01 -1.894651926E-01 5.564452663E-02 
1.201935719E-01 -9.994754152E-01 -9.774488647E-01 -9.252921512E-01 -9.991113232E-01 -8.115158764E-01 -9.991113232E-01 -9.252921512E-01 -9.774488647E-01 -9.994754152E-01 3.238688602E-02 -2.111722791E-01 3.792551188E-01 4.214935905E-02 5.843303738E-01 4.214935905E-02 3.792551188E-01 -2.111722791E-01 3.238688602E-02 
1.442322863E-01 -9.999566694E-01 -9.724841569E-01 -9.340281928E-01 -9.997382415E-01 -8.253215213E-01 -9.997382415E-01 -9.340281928E-01 -9.724841569E-01 -9.999566694E-01 9.309896907E-03 -2.329690505E-01 3.571993069E-01 2.287909796E-02 5.646630766E-01 2.287909796E-02 3.571993069E-01 -2.329690505E-01 9.309896907E-03 
1.682710007E-01 -9.999082709E-01 -9.669874233E-01 -9.422143977E-01 -9.999946515E-01 -8.386545838E-01 -9.999946515E-01 -9.422143977E-01 -9.669874233E-01 -9.999082709E-01 -1.354486751E-02 -2.548241279E-01 3.350105043E-01 3.271297595E-03 5.446636508E-01 3.271297595E-03 3.350105043E-01 -2.548241279E-01 -1.354486751E-02 
1.923097151E-01 -9.993469206E-01 -9.609549224E-01 -9.498458974E-01 -9.998611836E-01 -8.515036617E-01 -9.998611836E-01 -9.498458974E-01 -9.609549224E-01 -9.993469206E-01 -3.613509142E-02 -2.767049862E-01 3.127183717E-01 -1.666187088E-02 5.243486604E-01 -1.666187088E-02 3.127183717E-01 -2.767049862E-01 -3.613509142E-02 
2.163484295E-01 -9.982922159E-01 -9.543851852E-01 -9.569192049E-01 -9.993187280E-01 -8.638574968E-01 -9.993187280E-01 -9.569192049E-01 -9.543851852E-01 -9.982922159E-01 -5.841800193E-02 -2.985781798E-01 2.903543413E-01 -3.690642719E-02 5.037362691E-01 -3.690642719E-02 2.903543413E-01 -2.985781798E-01 -5.841800193E-02 
